CPU 2 iZ25qtxwjqdZ,User%,Sys%,Wait%,Idle%
2015-12-09 14:19:34,9.7,5.4,26.9,58.1
2015-12-09 14:19:35,19.1,5.6,0.0,75.3
2015-12-09 14:19:36,19.8,7.0,0.0,73.3
2015-12-09 14:19:37,21.6,8.0,0.0,70.5
2015-12-09 14:19:38,18.2,9.1,9.1,63.6
2015-12-09 14:19:39,17.0,6.8,38.6,37.5
2015-12-09 14:19:40,20.9,7.7,0.0,71.4
2015-12-09 14:19:41,22.7,8.0,0.0,69.3
2015-12-09 14:19:42,21.1,8.9,0.0,70.0
2015-12-09 14:19:43,18.0,7.9,11.2,62.9
2015-12-09 14:19:44,12.2,5.6,14.4,67.8
2015-12-09 14:19:45,22.2,8.9,0.0,68.9
2015-12-09 14:19:46,18.5,6.5,0.0,75.0
2015-12-09 14:19:47,19.3,8.0,0.0,72.7
2015-12-09 14:19:48,18.7,6.6,0.0,74.7
